=========  =========  ====================  ====================  =======================  ====================  ======================  =======================
  Grid Az    Grid El    Forward dAz (asec)    Reverse dAz (asec)    Forward - Reverse dAz    Forward dEl (asec)    Reverse dEl (arcsec)    Forward - Reverse dEl
=========  =========  ====================  ====================  =======================  ====================  ======================  =======================
      250         20            -9.19573               -                        -                     106.178                   -                      -
      250         45            -8.71011               -                        -                      36.2881                  -                      -
      250         20             -                     -                        -                       -                       -                      -
      250         45             -                     -                        -                       -                       -                      -
      250         20            -8.20944               -                        -                     107.392                   -                      -
      250         45            -5.37162               -                        -                      34.7505                  -                      -
      250         70            -3.35292               -                        -                      11.6339                  -                      -
      250         85             7.82135               -                        -                      -2.10721                 -                      -
      190         85             3.61213              15.9904                 -12.3783                 -9.19412                -3.87657               -5.31755
      180         70            -0.603405             -0.0891998               -0.514205                6.06542                14.2507                -8.18526
      180         45            -7.01304              -3.67128                 -3.34175                35.0387                 46.2946               -11.256
      180         20           -10.114                -7.51475                 -2.59921               114.603                 125.134                -10.5313
       90         20            15.9594               16.7699                  -0.810535              112.194                 129.125                -16.9308
       90         45            16.5708               20.4427                  -3.87184                37.2206                 47.3088               -10.0882
       90         70            26.7381               33.9345                  -7.1964                  7.30392                11.8432                -4.53931
       90         85           113.183               107.09                     6.09328                -8.44679                -5.92508               -2.52171
      -10         85           120.464                93.7373                  26.7267                  4.35917                 5.3368                -0.977632
       -0         70            31.4142               29.7995                   1.61469                17.3466                 20.8288                -3.48219
       -0         45            18.8745               18.9382                  -0.0637675              41.9945                 47.6964                -5.70191
       -0         20            20.8643               20.6344                   0.22989               113.938                 121.199                 -7.26062
      -90         20            -1.98949               3.21443                 -5.20392               118.16                  115.024                  3.13579
      -90         45            -0.0316117             4.08189                 -4.1135                 43.8663                 43.4073                 0.459061
      -90         70             1.76345               7.85226                 -6.08881                21.167                  19.5247                 1.64227
      -90         85            -1.42458              26.42                   -27.8446                  7.48213                 3.70782                3.77431
     -170         85           -25.7805              -10.1006                 -15.6799                 -3.7399                 -5.24306                1.50315
     -180         70            -6.83832              -7.551                    0.712684               11.593                  10.9728                 0.620224
     -180         45            -8.69275              -7.33567                 -1.35709                41.0659                 41.5811                -0.515237
     -180         20           -11.1549              -10.1371                  -1.0178                120.015                 119.93                   0.0849901
     -250         20             7.66881              11.9862                  -4.31734               119.202                 121.153                 -1.95083
     -250         45             9.16621              15.3042                  -6.13801                40.2142                 38.3677                 1.84657
     -250         70            22.4147               29.894                   -7.4793                  6.9811                  5.29063                1.69047
     -250         85            86.2716              119.41                   -33.1383                 -8.20207               -11.227                  3.02491
=========  =========  ====================  ====================  =======================  ====================  ======================  =======================
