===========  =========  =========================  =========================  ==========================  ==========================
    Grid Az    Grid El    std(Forward dAz) (asec)    std(Forward dEl) (asec)    std(Reverse dAzs) (asec)    std(Reverse dEls) (asec)
===========  =========  =========================  =========================  ==========================  ==========================
-250.731       21.5089                   3.66166                    7.87078                     7.92997                     7.92997
-250.139       45.544                    5.00554                    2.69347                     7.45917                     7.45917
-249.782       70.5475                  10.3213                     0.805059                   11.2213                     11.2213
-247.791       85.533                   29.685                      1.74817                    44.5042                     44.5042
-167.569       84.8666                  29.9048                     1.51375                    28.4882                     28.4882
-178.751       69.9944                  10.6645                     2.13928                     7.34621                     7.34621
-179.754       45.0007                   6.08716                    3.30311                     3.43524                     3.43524
-180.124       20.0021                   4.95916                    3.85679                     3.14118                     3.14118
 -90.7537      18.6981                   7.89583                    4.20783                     2.65575                     2.65575
 -90.3345      44.4175                  10.5809                     4.0465                      5.31169                     5.31169
 -90.3322      69.4105                  17.5005                     3.0658                     12.77                       12.77
 -90.2968      84.426                   51.7521                     2.05556                    49.2631                     49.2631
 -14.7403      84.8276                  85.4323                     1.25377                    61.0567                     61.0567
  -1.90438     69.9875                  18.2533                     0.263859                   15.7693                     15.7693
  -0.923106    44.9952                   8.80441                    2.22716                     7.34819                     7.34819
  -0.577687    19.9991                   7.10708                    3.5592                      5.71715                     5.71715
  89.261       21.2578                   4.84275                    2.23858                     0.298281                    0.298281
  89.6569      45.5819                   6.45591                    0.749594                   10.291                      10.291
  89.6513      70.5824                  13.1431                     1.03722                    18.5256                     18.5256
  89.6192      85.5755                  58.3933                     1.81899                    71.7417                     71.7417
 193.704       84.8381                  74.9319                     3.37817                    71.1064                     71.1064
 181.248       69.9936                  18.2214                     1.98039                    20.6849                     20.6849
 180.24        44.9996                   7.76138                    1.29432                     0.168583                    0.168583
 179.876       20.0009                   6.21417                    0.662159                    0.142452                    0.142452
 249.48        18.9347                   -                          -                           0.142452                    0.142452
 249.861       44.4502                   0.263112                   0.466315                    0.168583                    0.168583
 250.2         69.4499                  15.1988                     2.60581                    25.2986                     25.2986
 251.677       84.457                   59.8108                     3.03171                    56.732                      56.732
===========  =========  =========================  =========================  ==========================  ==========================
